bin_center,sigma,d_sigma
707000.0,0.00234,8.900000000000001e-05
709000.0,0.0,0.0
711000.0,0.0,0.0
713000.0,0.0,0.0
715000.0,0.0,0.0
717000.0,0.0,0.0
719000.0,0.0,0.0
721000.0,0.0,0.0
723000.0,0.00318,0.0001208
725000.0,0.0,0.0
727000.0,0.0,0.0
729000.0,0.0,0.0
731000.0,0.0,0.0
733000.0,0.0,0.0
735000.0,0.0044,0.0003999999999999
737000.0,0.00406,0.000158
739000.0,0.0,0.0
741000.0,0.0,0.0
743000.0,0.0,0.0
745000.0,0.0,0.0
747000.0,0.0,0.0
749000.0,0.0037631999999999995,2.5504e-05
751000.0,0.00556,0.000216
753000.0,0.0,0.0
755000.0,0.0,0.0
757000.0,0.0,0.0
759000.0,0.0,0.0
761000.0,0.0,0.0
763000.0,0.0,0.0
765000.0,0.0,0.0
767000.0,0.00762,0.000296
769000.0,0.0,0.0
771000.0,0.0,0.0
773000.0,0.0,0.0
775000.0,0.0,0.0
777000.0,0.0,0.0
779000.0,0.0,0.0
781000.0,0.0,0.0
783000.0,0.0,0.0
785000.0,0.0116,0.00104
787000.0,0.00066,0.0
789000.0,0.0,0.0
791000.0,0.0,0.0
793000.0,0.0008096000000000001,0.0
795000.0,0.0,0.0
797000.0,0.0,0.0
799000.0,0.0090034,4.4362000000000007e-05
801000.0,0.0,0.0
803000.0,0.0,0.0
805000.0,0.0,0.0
807000.0,0.00102,0.0
809000.0,0.0,0.0
811000.0,0.0,0.0
813000.0,0.0,0.0
815000.0,0.0,0.0
817000.0,0.0,0.0
819000.0,0.01982,0.000658
821000.0,0.0,0.0
823000.0,0.0,0.0
825000.0,0.0,0.0
827000.0,0.0014399999999999999,0.0
829000.0,0.0,0.0
831000.0,0.0,0.0
833000.0,0.0,0.0
835000.0,0.026029973260369377,0.0007759586386960996
837000.0,0.0,0.0
839000.0,0.0,0.0
841000.0,0.0,0.0
843000.0,0.0,0.0
845000.0,0.0,0.0
847000.0,0.00216,0.0
849000.0,0.0334,0.00105
851000.0,0.022548,0.00017396
853000.0,0.0,0.0
855000.0,0.0025244,0.0
857000.0,0.0,0.0
859000.0,0.0,0.0
861000.0,0.0,0.0
863000.0,0.0,0.0
865000.0,0.044,0.001368
867000.0,0.00286,0.0
869000.0,0.0,0.0
871000.0,0.0,0.0
873000.0,0.0,0.0
875000.0,0.0,0.0
877000.0,0.0,0.0
