DatasetID,year1,author1,DATA (B) 0.1,ERR-S (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,ERR-5 (PER-CENT) 0.955,ERR-SYS (PER-CENT) 0.955,EN (EV) 1.1,EN-RSL-FW (EV) 1.922,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
F1460002,2022,P.S.Prusachenko+,0.14206,0.6,4,4,2,2.5,2,6.8,5.171e+6,4.0e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.13101,0.7,4,4,2,2.5,2,6.8,5.175e+6,4.0e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.13005,0.6,4,4,2,2.5,2,6.8,5.254e+6,4.0e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.09417,0.8,4,4,2,2.5,2,6.8,5.334e+6,3.9e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.07957,0.7,4,4,2,2.5,2,6.8,5.4e+6,3.9e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.08982,0.9,4,4,2,2.5,2,6.8,5.45e+6,3.9e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.10714,0.7,4,4,2,2.5,2,6.8,5.5e+6,3.8e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.05498,0.7,4,4,2,2.5,2,6.8,5.589e+6,3.8e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.07271,0.7,4,4,2,2.5,2,6.8,5.739e+6,3.7e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.09026,0.7,4,4,2,2.5,2,6.8,5.879e+6,3.7e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.15083,0.9,4,4,2,2.5,2,6.8,5.927e+6,3.7e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.19932,0.4,4,4,2,2.5,2,6.8,5.989e+6,3.6e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.08851,0.7,4,4,2,2.5,2,6.8,6.117e+6,3.6e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
