DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.001611,7.0e-5,1.3866e+6,0.15
0.001734,7.4e-5,1.3906e+6,0.15
0.001628,7.1e-5,1.3946e+6,0.15
0.001554,6.9e-5,1.3986e+6,0.15
0.001359,6.5e-5,1.4026e+6,0.15
0.001669,7.3e-5,1.4066e+6,0.15
0.001722,7.4e-5,1.4106e+6,0.15
0.001713,7.4e-5,1.4136e+6,0.15
0.00167,7.3e-5,1.4176e+6,0.15
0.001714,7.4e-5,1.4216e+6,0.15
0.001591,7.0e-5,1.4256e+6,0.15
0.001686,7.3e-5,1.4296e+6,0.15
0.001812,7.6e-5,1.4336e+6,0.15
0.001642,7.1e-5,1.4376e+6,0.15
0.001702,7.4e-5,1.4416e+6,0.15
0.001788,7.6e-5,1.4456e+6,0.15
0.001752,7.5e-5,1.4496e+6,0.15
0.001746,7.5e-5,1.4536e+6,0.15
0.001806,7.6e-5,1.4576e+6,0.15
0.00187,7.7e-5,1.4616e+6,0.15
0.001833,7.6e-5,1.4656e+6,0.15
0.001774,7.5e-5,1.4686e+6,0.15
0.001954,7.8e-5,1.4726e+6,0.15
0.001985,7.8e-5,1.4766e+6,0.15
0.001862,7.6e-5,1.4806e+6,0.15
0.002063,8.0e-5,1.4866e+6,0.15
0.001872,7.7e-5,1.4886e+6,0.15
0.001944,7.8e-5,1.4927e+6,0.15
0.001944,7.8e-5,1.4967e+6,0.15
0.002133,8.2e-5,1.5027e+6,0.15
0.002166,8.2e-5,1.5247e+6,0.15
0.002154,8.2e-5,1.5287e+6,0.15
0.002103,8.1e-5,1.5327e+6,0.15
0.002421,8.6e-5,1.5367e+6,0.15
0.00233,8.5e-5,1.5407e+6,0.15
0.002229,8.3e-5,1.5447e+6,0.15
0.002348,8.5e-5,1.5487e+6,0.15
0.002503,8.8e-5,1.5527e+6,0.15
0.002394,8.6e-5,1.5577e+6,0.15
0.002309,8.4e-5,1.5617e+6,0.15
0.002512,8.8e-5,1.5657e+6,0.15
0.002527,8.8e-5,1.5677e+6,0.15
0.002567,8.9e-5,1.5697e+6,0.15
0.002577,8.9e-5,1.5717e+6,0.15
0.002475,8.7e-5,1.5737e+6,0.15
0.002716,9.2e-5,1.5757e+6,0.15
0.002482,8.7e-5,1.5777e+6,0.15
0.002732,9.2e-5,1.5797e+6,0.15
0.002541,8.8e-5,1.5817e+6,0.15
0.002733,9.2e-5,1.5837e+6,0.15
0.003009,9.6e-5,1.5857e+6,0.15
0.005078,1.24e-4,1.5877e+6,0.15
0.008232,1.58e-4,1.5897e+6,0.15
0.005068,1.24e-4,1.5917e+6,0.15
0.003331,1.01e-4,1.5937e+6,0.15
0.003042,9.7e-5,1.5967e+6,0.15
0.002984,9.6e-5,1.5987e+6,0.15
0.002849,9.4e-5,1.6007e+6,0.15
0.002804,9.4e-5,1.6027e+6,0.15
0.003019,9.7e-5,1.6047e+6,0.15
0.002959,9.6e-5,1.6067e+6,0.15
0.00298,9.7e-5,1.6087e+6,0.15
0.003039,9.8e-5,1.6107e+6,0.15
0.003035,9.8e-5,1.6127e+6,0.15
0.003049,9.8e-5,1.6147e+6,0.15
0.002848,9.4e-5,1.6167e+6,0.15
0.003143,9.8e-5,1.6187e+6,0.15
0.003063,9.7e-5,1.6207e+6,0.15
0.003016,9.7e-5,1.6227e+6,0.15
0.003353,1.01e-4,1.6257e+6,0.15
0.003253,1.0e-4,1.6277e+6,0.15
0.003238,1.0e-4,1.6297e+6,0.15
0.003244,1.0e-4,1.6317e+6,0.15
0.003375,1.02e-4,1.6357e+6,0.15
0.003452,1.03e-4,1.6397e+6,0.15
0.003234,1.0e-4,1.6437e+6,0.15
0.00328,1.01e-4,1.6477e+6,0.15
