EN (EV) 1.1,DATA (B) 0.1
4.203,6.0700
4.213,6.1700
4.223,6.2300
4.232,6.4300
4.242,6.5900
4.252,6.8600
4.262,7.1500
4.272,7.7000
4.282,8.5500
4.292,9.7000
4.302,11.0000
4.313,13.7000
4.323,18.1000
4.333,26.7000
4.343,43.3000
4.353,71.7000
4.362,89.8000
4.371,76.0000
4.38,49.6000
4.389,31.7000
4.399,22.3000
4.41,16.9000
4.42,13.7000
4.43,12.1000
4.441,11.4000
4.451,10.1000
4.459,7.7000
4.469,6.5900
4.48,6.4700
4.49,7.0500
4.5,7.5100
4.51,7.9900
4.521,10.1000
4.531,10.9000
4.541,17.1000
4.549,55.1000
4.554,80.7000
4.558,89.6000
4.561,76.2000
4.564,57.7000
4.568,45.0000
4.578,37.1000
4.588,27.4000
4.598,21.6000
4.609,20.1000
4.619,20.2000
4.629,21.0000
4.639,22.5000
4.649,24.2000
4.659,25.9000
4.67,28.1000
4.679,29.3000
4.688,29.9000
4.698,30.3000
4.708,29.8000
4.718,30.0000
4.728,29.8000
4.738,29.6000
4.748,30.1000
4.758,30.6000
4.768,31.0000
4.778,31.3000
4.787,29.8000
4.797,29.0000
4.807,27.0000
4.817,25.5000
4.827,24.9000
4.837,24.8000
4.848,25.8000
4.858,27.2000
4.868,29.6000
4.878,32.9000
4.888,37.8000
4.897,44.2000
4.907,53.0000
4.917,64.0000
4.927,80.7000
4.937,98.7000
4.947,121.0000
4.957,129.0000
4.967,124.0000
4.976,110.0000
4.986,95.8000
4.996,90.2000
5.006,92.4000
5.016,92.2748
5.026,94.0267
5.036,96.9674
5.046,100.5824
5.056,106.1656
5.066,110.8047
5.076,115.4768
5.086,120.1250
5.096,126.6898
5.106,132.2794
5.115,138.7505
5.125,137.0440
5.135,147.7846
5.145,149.5696
5.155,147.1688
5.165,145.0671
5.175,141.4746
5.185,138.0837
5.195,133.8022
5.205,130.4679
5.215,126.3567
5.224,122.0995
5.234,119.8616
5.244,117.6822
5.254,116.3519
5.264,123.2374
5.275,164.3746
5.284,185.7637
5.294,148.5054
5.303,126.1544
5.314,121.6088
5.324,121.9713
5.333,126.3855
5.343,133.9266
5.353,141.4295
5.363,152.8564
5.373,166.5929
5.383,177.1018
5.393,186.7507
5.403,190.0928
5.413,187.1837
5.423,184.3007
5.433,182.2190
5.443,185.5706
5.452,193.5918
5.462,195.3725
5.472,184.1110
5.482,154.5542
5.492,132.0256
5.502,114.9454
5.512,102.5109
5.522,93.1683
5.532,86.1414
5.542,80.6588
5.552,75.9565
5.561,72.4959
5.571,70.4581
5.581,68.7306
5.591,67.9074
5.601,67.9077
5.611,68.1325
5.621,69.6172
5.631,71.9104
5.641,73.7535
5.651,78.7555
5.662,84.4569
5.671,93.1034
5.681,103.8963
5.691,119.0312
5.701,132.6527
5.711,148.4084
5.721,164.8342
5.731,179.0288
5.74,183.8028
5.75,184.9190
5.76,181.7084
5.77,176.3530
5.779,168.8926
5.789,163.5829
5.799,159.7266
5.809,156.6010
5.819,155.6302
5.829,156.0907
5.839,156.5520
5.85,159.1213
5.86,163.1280
5.87,167.1251
5.88,172.5263
5.889,187.1199
